Ваш SKU *,Критичные ошибки,Некритичные ошибки,Качество карточки,Рекомендации по заполнению,Название группы вариантов,Название товара *,Ссылка на изображение *,Изображение для миниатюры,Описание товара *,Бренд *,Штрихкод *,Теги,Ссылка на видео,Инструкции,Страна производства,Артикул производителя,Изготовитель,"Вес с упаковкой, кг","Габариты с упаковкой, см",Товар занимает больше одного места,Цена *,Зачёркнутая цена,Себестоимость,Дополнительные расходы,Срок годности,Комментарий к сроку годности,Срок службы,Комментарий к сроку службы,Гарантийный срок,Комментарий к гарантийному сроку,Номер документа на товар,Код ТН ВЭД,Тип уценки,Внешний вид товара,Описание состояния товара,Артикул товара (SKU),CSKU на Маркете,В архиве,Применение,Назначение,Название сервиса,Вид поставки,Платформа,Совместимость с ОС,Сервис активации,Номинал карты,Продолжительность подписки,Территория активации,Бонусы,Жанр игры,Количество подключаемых аккаунтов,Возрастное ограничение,Инструкция по активации,Дополнительная информация,Активация после покупки,"Количество упаковок в товаре, шт.",Территория использования,Дата дополнения карточки,Прочие характеристики
GFT7515,,,58,"Улучшайте, чтобы получить больше баллов
Характеристики
Ключевые +12
Дополнительные для фильтров +8
Подробности о товаре +5
Бренд +2
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",Kinguin Европа,EUR 75 Kinguin подарочная карта для всех стран EUR 75 Kinguin gift card EUR 75 K,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h1>Цифровой код активации EUR 75 Kinguin gift card</h1>

<p>Подарите себе или своим близким возможность выбора из огромного ассортимента игр, программ и других цифровых товаров с помощью EUR 75 Kinguin gift card. Этот цифровой код активации предоставляет вам доступ к мировым цифровым ресурсам для развлечений и работы.</p>

<h2>Что получает покупатель:</h2>
<ul>
 <li>Возможность выбора из широкого ассортимента игр, программ и других цифровых товаров</li>
 <li>Гарантированная безопасность и удобство онлайн-платежей</li>
 <li>Быстрая доставка цифрового кода активации на ваш электронный адрес</li>
</ul>

<h2>Особенности и преимущества цифрового товара:</h2>
<ul>
 <li>Мгновенный доступ к цифровым ресурсам без необходимости посещения магазина</li>
 <li>Удобство выбора и оплаты цифровых товаров в любое время суток</li>
 <li>Возможность использования кода активации в любом регионе мира</li>
</ul>

<p>EUR 75 Kinguin gift card активируется во всех странах мира. Получите цифровой код активации моментально после покупки и наслаждайтесь выбором цифровых товаров, которые подарят вам удовольствие и удобство.</p>",Kinguin Gift Card | EU,,,,,,,,0.1,2/10/5,,10021,12526,6906.62,6906.62,,,,,,,,,,,,5288965697,5288965697,,пополнение счета,игры,Kinguin,электронный ключ,"ПК,мобильное устройство,PlayStation 4,PlayStation 5,Xbox 360,Xbox Series XIS,Xbox One","macOS,Linux,Windows,iOS,Android",Kinguin,75,99 лет,все страны,,,1,18+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны,,
GFT6890,,,83,"Улучшайте, чтобы получить больше баллов
Характеристики
Бренд +2
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",,The Elder Scrolls IV: Oblivion® GOTY Deluxe - Voucher for LATAM Market The Elder,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h1>Цифровой код активации The Elder Scrolls IV: Oblivion® GOTY Deluxe</h1>

<p>Погрузитесь в захватывающий мир фэнтезийной RPG с The Elder Scrolls IV: Oblivion® GOTY Deluxe. Этот цифровой код активации откроет перед вами бескрайние приключения, загадки и опасности.</p>

<ul>
 <li>После покупки вы получите уникальный код активации</li>
 <li>Возможность скачать и начать игру моментально</li>
 <li>Полный доступ ко всем дополнениям и улучшениям игры</li>
</ul>

<p>Особенности и преимущества цифрового товара:</p>

<ol>
 <li>Мгновенный доступ к игре без необходимости ждать доставку</li>
 <li>Экономия времени и удобство при покупке</li>
 <li>Возможность активации в регионе LATAM</li>
</ol>

<p>Получите цифровой код активации The Elder Scrolls IV: Oblivion® GOTY Deluxe прямо сейчас и окунитесь в увлекательный мир фэнтезийных приключений!</p>",The Elder Scrolls IV: Oblivion® GOTY | LATAM,,,,,,,,0.1,2/10/5,,319,399,228.02,228.02,,,,,,,,,,,,5288947430,5288947430,,сервис активации,игры,The Elder Scrolls IV: Oblivion GOTY Deluxe,электронный ключ,ПК,Windows,Steam,11.99,99 лет,LATAM,,открытый мир,1,16+,,для аккаунтов LATAM,бессрочно,,LATAM,,
GFT6891,,,83,"Улучшайте, чтобы получить больше баллов
Характеристики
Бренд +2
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",,The Elder Scrolls IV: Oblivion® GOTY Deluxe - Voucher for MENA Region The Elder,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h2>Цифровой код активации для игры The Elder Scrolls IV: Oblivion® GOTY Deluxe</h2>

<p>Погрузитесь в захватывающий мир фэнтези с игрой The Elder Scrolls IV: Oblivion® GOTY Deluxe, доступной для активации в регионе MENA.</p>

<ul>
 <li>После приобретения цифрового кода активации вы получите:</li>
 <li>Доступ к полной версии игры The Elder Scrolls IV: Oblivion® GOTY Deluxe.</li>
 <li>Возможность погрузиться в увлекательный сюжет и исследовать огромный открытый мир.</li>
 <li>Возможность улучшить навыки своего персонажа и сражаться с могущественными врагами.</li>
</ul>

<p>Особенности цифрового товара:</p>

<ol>
 <li>Мгновенная доставка онлайн, без ожидания.</li>
 <li>Удобство активации без необходимости посещения магазина.</li>
 <li>Игровой процесс без дисков и упаковки, все в цифровом формате.</li>
</ol>

<p>Приобретая цифровой код активации для игры The Elder Scrolls IV: Oblivion® GOTY Deluxe, вы гарантированно получите доступ к захватывающему миру Tamriel, где вас ждут увлекательные приключения и множество заданий.</p>",The Elder Scrolls IV: Oblivion® GOTY | MENA,,,,,,,,0.1,2/10/5,,319,399,228.02,228.02,,,,,,,,,,,,5288960436,5288960436,,сервис активации,игры,The Elder Scrolls IV: Oblivion GOTY Deluxe,электронный ключ,ПК,Windows,Steam,11.99,99 лет,MENA,,открытый мир,1,16+,,для аккаунтов MENA,бессрочно,,MENA,,
GFT6892,,,58,"Улучшайте, чтобы получить больше баллов
Характеристики
Ключевые +12
Дополнительные для фильтров +8
Подробности о товаре +5
Бренд +2
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",,The Elder Scrolls III: Morrowind® GOTY - Ваучер активации для всех стран The Eld,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h1>Цифровой код активации The Elder Scrolls III: Morrowind® GOTY</h1>

<p>Погрузитесь в захватывающий мир фэнтезийной RPG с игрой The Elder Scrolls III: Morrowind® Game of the Year Edition. Этот цифровой код активации откроет перед вами бескрайние просторы Ввардена, где вас ждут увлекательные приключения и множество заданий.</p>

<ul>
 <li>После покупки вы получите уникальный код активации для игры The Elder Scrolls III: Morrowind® GOTY.</li>
 <li>Вам станут доступны все дополнения и улучшения, включенные в издание Game of the Year Edition.</li>
 <li>Вы сможете насладиться улучшенной графикой, новыми квестами и обширным игровым миром.</li>
</ul>

<p>Этот цифровой товар подходит для активации во всех странах. После покупки код будет доставлен вам онлайн, что позволит быстро начать играть без дополнительных задержек.</p>",The Elder Scrolls III: Morrowind® GOTY | ASIA,,,,,,,,0.1,2/10/5,,965,1207,689.47,689.47,,,,,,,,,,,,5288947421,5288947421,,сервис активации,игры,The Elder Scrolls III: Morrowind GOTY,электронный ключ,ПК,Windows,Steam,14.99,99 лет,все страны,,"экшн,открытый мир",1,16+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны,,
GFT6893,,,58,"Улучшайте, чтобы получить больше баллов
Характеристики
Ключевые +12
Дополнительные для фильтров +8
Подробности о товаре +5
Бренд +2
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",,The Elder Scrolls III: Morrowind® GOTY - ваучер активации для CIS The Elder Scro,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h2>Цифровой код активации The Elder Scrolls III: Morrowind® GOTY</h2>

<p>Погрузитесь в захватывающий мир фэнтезийной RPG с игрой The Elder Scrolls III: Morrowind® Game of the Year Edition. Получите доступ ко всем дополнениям и улучшениям, чтобы полностью погрузиться в удивительный мир игры.</p>

<ul>
 <li>Цифровой код активации для The Elder Scrolls III: Morrowind® GOTY</li>
 <li>Полный доступ ко всем дополнениям и улучшениям игры</li>
 <li>Возможность начать увлекательное приключение в мире Morrowind</li>
</ul>

<p>Особенности цифрового товара:</p>
<ol>
 <li>Быстрая доставка онлайн</li>
 <li>Новые возможности и задания для игры</li>
 <li>Полная свобода действий и выбора пути развития персонажа</li>
</ol>

<p>Регион активации: CIS. Получите цифровой код активации для The Elder Scrolls III: Morrowind® GOTY онлайн и начните своё приключение прямо сейчас!</p>",The Elder Scrolls III: Morrowind® GOTY | CIS,,,,,,,,0.1,2/10/5,,934,1168,667.31,667.31,,,,,,,,,,,,5288960439,5288960439,,сервис активации,игры,The Elder Scrolls III: Morrowind GOTY,электронный ключ,ПК,Windows,Steam,14.99,99 лет,CIS,,открытый мир,1,16+,,для аккаунтов CIS,бессрочно,,CIS,,
GFT6894,,,83,"Улучшайте, чтобы получить больше баллов
Характеристики
Бренд +2
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",,The Elder Scrolls III: Morrowind® GOTY Voucher LATAM The Elder Scrolls III: Morr,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h2>Цифровой код активации для The Elder Scrolls III: Morrowind® GOTY</h2>

<p>Погрузитесь в удивительный мир фэнтезийной RPG с цифровым кодом активации для The Elder Scrolls III: Morrowind® GOTY. Этот продукт предоставляет доступ к игре в формате онлайн-подписки, что позволит вам насладиться захватывающим геймплеем и увлекательными приключениями.</p>

<ul>
 <li>После покупки вы получите уникальный цифровой код активации</li>
 <li>Возможность сразу начать игру без дополнительных задержек</li>
 <li>Полный доступ ко всем дополнениям и контенту игры</li>
</ul>

<p>Цифровой код активации для The Elder Scrolls III: Morrowind® GOTY предназначен для региона LATAM и доставляется онлайн. Просто активируйте код и окунитесь в захватывающий мир игры от .</p>",The Elder Scrolls III: Morrowind® GOTY | LATAM,,,,,,,,0.1,2/10/5,,965,1207,689.47,689.47,,,,,,,,,,,,5288947422,5288947422,,сервис активации,игры,The Elder Scrolls III: Morrowind GOTY,электронный ключ,ПК,Windows,Steam,8.99,99 лет,LATAM,,открытый мир,1,16+,,для аккаунтов LATAM,бессрочно,,LATAM,,
GFT6895,,,83,"Улучшайте, чтобы получить больше баллов
Характеристики
Бренд +2
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",,The Elder Scrolls III: Morrowind® GOTY - Voucher for MENA Region The Elder Scrol,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h2>Цифровой код активации The Elder Scrolls III: Morrowind® GOTY</h2>

<p>Погрузитесь в увлекательный мир фэнтезийной RPG с игрой The Elder Scrolls III: Morrowind® Game of the Year Edition. Этот цифровой код активации откроет перед вами бескрайние просторы Ввардена, где вас ждут захватывающие приключения и опасные задания.</p>

<ul>
 <li>После покупки вы получите уникальный код активации для игры The Elder Scrolls III: Morrowind® GOTY.</li>
 <li>Вам станут доступны все дополнения и улучшения, включенные в Game of the Year Edition.</li>
 <li>Вы сможете отправиться в увлекательное путешествие по миру Морровинда и стать героем его легенд.</li>
</ul>

<p>Особенности цифрового товара:</p>

<ol>
 <li>Полная версия игры с улучшенной графикой и исправленными ошибками.</li>
 <li>Расширенный игровой мир с новыми заданиями и возможностями.</li>
 <li>Возможность создать своего уникального персонажа и исследовать мир по своему усмотрению.</li>
</ol>

<p>Регион активации: MENA. Доставка кода активации осуществляется онлайн, моментально после покупки. Погрузитесь в мир Морровинда прямо сейчас!</p>",The Elder Scrolls III: Morrowind® GOTY | MENA,,,,,,,,0.1,2/10/5,,965,1207,689.47,689.47,,,,,,,,,,,,5288947433,5288947433,,сервис активации,игры,The Elder Scrolls III: Morrowind GOTY,электронный ключ,ПК,Windows,Steam,8.99,99 лет,MENA,,"открытый мир,приключения",1,16+,,для аккаунтов MENA,бессрочно,,MENA,,
GFT6896,,,58,"Улучшайте, чтобы получить больше баллов
Характеристики
Ключевые +12
Дополнительные для фильтров +8
Подробности о товаре +5
Бренд +2
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",,Heretic + Hexen Voucher для Яндекс Маркет Heretic + Hexen Heretic + Hexen Hereti,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h2>Цифровой код активации Heretic + Hexen</h2>

<p>Приобретая цифровой код активации Heretic + Hexen, вы получаете доступ к увлекательным мирам двух культовых игр в жанре шутер от первого лица.</p>

<ul>
 <li>После покупки вы получите цифровой код активации для игр Heretic и Hexen.</li>
 <li>Благодаря коду вы сможете сразу начать игру без дополнительных шагов.</li>
 <li>Игры поддерживаются на всех платформах и доступны для игроков со всего мира.</li>
</ul>

<p>Особенности цифрового товара:</p>

<ol>
 <li>Наслаждайтесь уникальным геймплеем и атмосферой классических шутеров.</li>
 <li>Играйте в любое время, в любом месте, ведь доставка кода осуществляется онлайн.</li>
 <li>Погрузитесь в захватывающие приключения в мистических мирах с Heretic + Hexen.</li>
</ol>

<p>Цифровой код активации Heretic + Hexen подходит для всех стран мира. Начните играть прямо сейчас!</p>",Heretic + Hexen | ASIA,,,,,,,,0.1,2/10/5,,832,1040,594.02,594.02,,,,,,,,,,,,5288927831,5288927831,,сервис активации,игры,Heretic + Hexen,электронный ключ,ПК,Windows,Steam,10.49,99 лет,все страны,,шутер,1,16+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны,,
GFT6897,,,83,"Улучшайте, чтобы получить больше баллов
Характеристики
Бренд +2
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",,Ghostwire: Tokyo - Купи ваучер для активации в СНГ Ghostwire: Tokyo Ghostwire: T,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h1>Цифровой код активации Ghostwire: Tokyo для региона СНГ</h1>

<p>Погрузитесь в удивительный мир Японии с игрой Ghostwire: Tokyo. Этот цифровой код активации предоставляет доступ к захватывающему мистическому приключению, где вы столкнетесь с духами и загадочными силами.</p>

<ul>
 <li>После покупки вы получите уникальный код активации для игры Ghostwire: Tokyo.</li>
 <li>Вас ждут захватывающие сражения, загадки и исследования в уникальной атмосфере Токио.</li>
 <li>Игра предлагает уникальный геймплей, где вам предстоит использовать магию для борьбы с мистическими угрозами.</li>
</ul>

<p>Ghostwire: Tokyo открывает перед вами удивительный мир, наполненный тайнами и опасностями. С этим цифровым кодом активации вы сможете окунуться в захватывающее приключение прямо сейчас.</p>

<p>Регион активации: СНГ. Доставка кода осуществляется онлайн, что позволит вам быстро начать играть без дополнительных задержек.</p>",Ghostwire: Tokyo | CIS,,,,,,,,0.1,2/10/5,,949,1186,677.54,677.54,,,,,,,,,,,,5288919106,5288919106,,сервис активации,игры,Ghostwire: Tokyo,электронный ключ,ПК,Windows,Steam,36.99,99 лет,CIS,,"экшн,хоррор",1,16+,,для аккаунтов CIS,бессрочно,,CIS,,
GFT6898,,,58,"Улучшайте, чтобы получить больше баллов
Характеристики
Ключевые +12
Дополнительные для фильтров +8
Подробности о товаре +5
Бренд +2
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",,Ghostwire: Tokyo - Voucher для MENA. Ghostwire: Tokyo Ghostwire: Tokyo Ghostwire,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h2>Цифровой код активации Ghostwire: Tokyo для региона MENA</h2>

<p>Ghostwire: Tokyo – захватывающая игра, где игроки погружаются в мистический мир Токио, полный тайн и опасностей. Станьте одним из немногих, кто способен раскрыть загадку исчезновения жителей города.</p>

<ul>
 <li>После покупки цифрового кода активации Ghostwire: Tokyo вы получите доступ к увлекательному игровому процессу.</li>
 <li>Пройдите захватывающие квесты, исследуйте Токио и боритесь с мистическими силами.</li>
 <li>Ощутите атмосферу японской столицы, воплощенную в потрясающей графике и звуковом сопровождении.</li>
</ul>

<p>Ghostwire: Tokyo – это не просто игра, это увлекательное приключение, которое подарит вам часы увлекательного времяпрепровождения. Бренд: не указан.</p>

<p>Активация цифрового кода доступна для региона MENA. После покупки вы моментально получите код активации онлайн, без необходимости ожидания доставки.</p>",Ghostwire: Tokyo | MENA,,,,,,,,0.1,2/10/5,,949,1186,677.54,677.54,,,,,,,,,,,,5288919107,5288919107,,сервис активации,игры,Ghostwire: Tokyo,электронный ключ,ПК,Windows,Steam,35.99,99 лет,MENA,,"экшн,хоррор",1,16+,,для аккаунтов MENA,бессрочно,,MENA,,
GFT6899,,,83,"Улучшайте, чтобы получить больше баллов
Характеристики
Бренд +2
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",,Ghostwire: Tokyo - LATAM Voucher for Ghostwire: Tokyo Ghostwire: Tokyo Ghostwire,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h2>Цифровой код активации для игры Ghostwire: Tokyo</h2>

<p>Погрузитесь в удивительный мир японской столицы, полный тайн и мистических существ с игрой Ghostwire: Tokyo. Этот цифровой код активации позволит вам окунуться в захватывающее приключение прямо на вашей игровой платформе.</p>

<ul>
 <li>После покупки вы получите уникальный код активации для игры Ghostwire: Tokyo.</li>
 <li>Вам откроется доступ ко всем уровням, персонажам и возможностям игры.</li>
 <li>Вы сможете насладиться увлекательным сюжетом и уникальным геймплеем.</li>
</ul>

<p>Особенности цифрового товара:</p>

<ol>
 <li>Мгновенная доставка кода активации онлайн.</li>
 <li>Без необходимости ждать доставку по почте или в магазине.</li>
 <li>Активация кода проста и быстра, без лишних шагов.</li>
</ol>

<p>Регион активации: Латинская Америка. Получите доступ к игре Ghostwire: Tokyo прямо сейчас и отправьтесь в увлекательное приключение в мистическом Токио!</p>",Ghostwire: Tokyo | LATAM,,,,,,,,0.1,2/10/5,,949,1186,677.54,677.54,,,,,,,,,,,,5288919103,5288919103,,сервис активации,игры,Ghostwire: Tokyo,электронный ключ,ПК,Windows,Steam,35.99,99 лет,LATAM,,"экшн,хоррор",1,16+,,для аккаунтов LATAM,бессрочно,,LATAM,,
GFT3453,,,60,"Улучшайте, чтобы получить больше баллов
Характеристики
Ключевые +12
Дополнительные для фильтров +8
Подробности о товаре +5
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",PlayStation Store Европа,EUR 200 PlayStation®Store Wallet Gift Card - Бельгия EUR 200 PlayStation®Store W,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h1>EUR 200 PlayStation®Store Wallet gift card</h1>

<p>Цифровой код активации для пополнения кошелька PlayStation®Store на сумму 200 евро. Позволяет приобретать игры, дополнения, фильмы и другой контент в магазине PlayStation.</p>

<ul>
 <li>После покупки вы получаете уникальный код активации.</li>
 <li>Быстрая доставка онлайн, код сразу доступен после оплаты.</li>
</ul>

<p>Особенности и преимущества цифрового товара:</p>

<ol>
 <li>Удобный способ пополнения кошелька PlayStation®Store без использования кредитных карт.</li>
 <li>Широкий выбор контента для PlayStation 4, PlayStation 5 и других устройств Sony.</li>
 <li>Идеальный подарок для геймеров и любителей развлечений на PlayStation.</li>
</ol>

<p>Регион активации: Бельгия (BE). Получение кода: онлайн, после оплаты вы моментально получите уникальный код активации для пополнения кошелька PlayStation®Store на 200 евро.</p>",Sony,,,,,,,,0.1,2/10/5,,26168,32710,18035.94,18035.94,,,,,,,,,,,,5288932040,5288932040,,пополнение счета,игры,PlayStation Store,электронный ключ,"PlayStation 5,PlayStation 4,PlayStation 2,PlayStation 3","iOS,Android",PlayStation Store,200,99 лет,Бельгия,,,1,16+,,только для бельгийских аккаунтов,бессрочно,,Бельгия,,
GFT3454,,,60,"Улучшайте, чтобы получить больше баллов
Характеристики
Ключевые +12
Дополнительные для фильтров +8
Подробности о товаре +5
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",PlayStation Store Европа,EUR 250 PlayStation®Store Wallet Gift Card - Бельгия - Ваучер EUR 250 PlayStatio,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h2>Цифровой код активации EUR 250 для PlayStation®Store</h2>

<p>Приобретите цифровой код активации EUR 250 для PlayStation®Store и получите доступ к огромному выбору игр, дополнений, фильмов и музыки прямо на вашей консоли PlayStation.</p>

<ul>
 <li>250 евро на вашем аккаунте PlayStation®Store</li>
 <li>Возможность приобретения игр, дополнений, фильмов и музыки</li>
 <li>Удобный способ пополнения баланса без использования кредитных карт</li>
</ul>

<p>Особенности цифрового кода активации:</p>

<ol>
 <li>Моментальная доставка кода на ваш электронный адрес</li>
 <li>Безопасный способ оплаты и пополнения баланса</li>
 <li>Идеальный подарок для любителей игр на PlayStation</li>
</ol>

<p>Регион активации: Бельгия (BE). Получите свой код активации EUR 250 для PlayStation®Store онлайн и наслаждайтесь широким выбором контента для вашей консоли PlayStation.</p>",Sony,,,,,,,,0.1,2/10/5,,32710,40888,22544.93,22544.93,,,,,,,,,,,,5288932063,5288932063,,пополнение счета,игры,PlayStation Store,электронный ключ,"PlayStation 5,PlayStation 4,PlayStation 2,PlayStation 3","iOS,Android",PlayStation Store,250,99 лет,Бельгия,,,1,16+,,только для бельгийских аккаунтов,бессрочно,,Бельгия,,
GFT3455,,,85,"Улучшайте, чтобы получить больше баллов
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",PlayStation Store Европа,EUR 10 PlayStation Store Gift Card - Portugal EUR 10 PlayStation®Store Wallet gi,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h2>Цифровой код активации EUR 10 для PlayStation®Store</h2>

<p>Приобретите цифровой код активации на сумму EUR 10 для PlayStation®Store и получите доступ к широкому выбору игр, дополнений, фильмов и другого контента в онлайн-магазине PlayStation.</p>

<ul>
 <li>После покупки вы получите уникальный код активации.</li>
 <li>Моментальная доставка кода онлайн.</li>
</ul>

<p>Особенности и преимущества цифрового товара:</p>

<ul>
 <li>Удобная оплата и активация без выхода из дома.</li>
 <li>Быстрый доступ к цифровому контенту PlayStation®Store.</li>
 <li>Идеальный подарок для любителей игр на консолях PlayStation.</li>
</ul>

<p>Регион активации: Португалия (PT).</p>
<p>Получение кода: после покупки вам будет предоставлен уникальный код активации, который можно использовать на официальном сайте PlayStation®Store.</p>",Sony,,,,,,,,0.1,2/10/5,,1378,1722,949.51,949.51,,,,,,,,,,,,5288930281,5288930281,,пополнение счета,игры,PlayStation Store,электронный ключ,"PlayStation 5,PlayStation 4,PlayStation 2,PlayStation 3","iOS,Android",PlayStation Store,10,99 лет,Португалия,,,1,16+,,только для португальских аккаунтов,бессрочно,,Португалия,,
GFT3456,,,85,"Улучшайте, чтобы получить больше баллов
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",PlayStation Store Европа,EUR 20 PlayStation Store Wallet Gift Card (Portugal) - Voucher EUR 20 PlayStatio,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h2>Цифровой код активации EUR 20 для PlayStation®Store</h2>

<p>Приобретите цифровой код активации EUR 20 для PlayStation®Store и получите доступ к широкому выбору игр, дополнений, фильмов и музыки прямо на вашей консоли PlayStation.</p>

<ul>
 <li>20 евро для покупок в магазине PlayStation®Store</li>
 <li>Быстрое пополнение баланса без необходимости использовать кредитные карты</li>
 <li>Удобный способ приобретения цифровых товаров для вашей консоли PlayStation</li>
</ul>

<p>После приобретения данного цифрового кода активации вы получите уникальный код, который можно использовать для пополнения баланса вашего аккаунта в PlayStation®Store на сумму 20 евро. Это отличный способ приобрести игры, расширения и другие цифровые товары без необходимости вводить данные банковской карты.</p>

<p>Регион активации: Португалия (PT)</p>
<p>Доставка кода осуществляется онлайн, моментально после покупки. Просто активируйте код на своем аккаунте PlayStation и наслаждайтесь покупками в магазине PlayStation®Store.</p>",Sony,,,,,,,,0.1,2/10/5,,2755,3444,1899.02,1899.02,,,,,,,,,,,,5288930290,5288930290,,пополнение счета,игры,PlayStation Store,электронный ключ,"PlayStation 5,PlayStation 4,PlayStation 2,PlayStation 3","iOS,Android",PlayStation Store,20,99 лет,Португалия,,,1,16+,,только для португальских аккаунтов,бессрочно,,Португалия,,
GFT3457,,,85,"Улучшайте, чтобы получить больше баллов
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",PlayStation Store Европа,EUR 50 PlayStation Store Gift Card (Portugal) - Voucher EUR 50 PlayStation®Store,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h2>Цифровой код активации EUR 50 для PlayStation®Store</h2>

<p>Пополните свой аккаунт PlayStation®Store на сумму 50 евро с помощью цифрового кода активации. Теперь у вас появится возможность приобрести новые игры, дополнения, фильмы и многое другое прямо на вашей консоли PlayStation.</p>

<ul>
 <li>50 евро на вашем аккаунте PlayStation®Store</li>
 <li>Быстрое пополнение без выхода из дома</li>
 <li>Широкий выбор контента для покупки</li>
</ul>

<p>Цифровой код активации EUR 50 подходит для аккаунтов PlayStation в Португалии (PT). После покупки вы моментально получите код активации онлайн, что позволит вам сразу начать покупки в магазине PlayStation®Store.</p>",Sony,,,,,,,,0.1,2/10/5,,6600,8251,4549.26,4549.26,,,,,,,,,,,,5288930279,5288930279,,пополнение счета,игры,PlayStation Store,электронный ключ,"PlayStation 4,PlayStation 5","iOS,Android",PlayStation Store,50,99 лет,Португалия,,,1,16+,,только для португальских аккаунтов,бессрочно,,Португалия,2026-03-19T20:19:14Z,
